keyword,question,option,image,scoring_country,score
车辆,你看到的车牌颜色是？,无法确定车牌颜色,images/unknown.jpg,,
车辆,你看到的车牌颜色是？,纯白色,images/white_plate.jpg,Andorra,1
车辆,你看到的车牌颜色是？,纯白色,images/white_plate.jpg,Australia,1
车辆,你看到的车牌颜色是？,纯白色,images/white_plate.jpg,Bolivia,1
车辆,你看到的车牌颜色是？,纯白色,images/white_plate.jpg,Bostwana,1
车辆,你看到的车牌颜色是？,纯白色,images/white_plate.jpg,Cambodia,1
车辆,你看到的车牌颜色是？,纯白色,images/white_plate.jpg,Chile,1
车辆,你看到的车牌颜色是？,纯白色,images/white_plate.jpg,Canada,1
车辆,你看到的车牌颜色是？,纯白色,images/white_plate.jpg,Ecuador,1
车辆,你看到的车牌颜色是？,纯白色,images/white_plate.jpg,Guatemala,1
车辆,你看到的车牌颜色是？,纯白色,images/white_plate.jpg,Ghana,1
车辆,你看到的车牌颜色是？,纯白色,images/white_plate.jpg,Japan,1
车辆,你看到的车牌颜色是？,纯白色,images/white_plate.jpg,Iceland,1
车辆,你看到的车牌颜色是？,纯白色,images/white_plate.jpg,India,1
车辆,你看到的车牌颜色是？,纯白色,images/white_plate.jpg,Kenya,0.5
车辆,你看到的车牌颜色是？,纯白色,images/white_plate.jpg,Lesotho,1
车辆,你看到的车牌颜色是？,纯白色,images/white_plate.jpg,Mexico,1
车辆,你看到的车牌颜色是？,纯白色,images/white_plate.jpg,Mongolia,1
车辆,你看到的车牌颜色是？,纯白色,images/white_plate.jpg,New Zealand,1
车辆,你看到的车牌颜色是？,纯白色,images/white_plate.jpg,Nigeria,1
车辆,你看到的车牌颜色是？,纯白色,images/white_plate.jpg,Peru,1
车辆,你看到的车牌颜色是？,纯白色,images/white_plate.jpg,Philippines,1
车辆,你看到的车牌颜色是？,纯白色,images/white_plate.jpg,Russia,1
车辆,你看到的车牌颜色是？,纯白色,images/white_plate.jpg,South Africa,1
车辆,你看到的车牌颜色是？,纯白色,images/white_plate.jpg,South Korea,1
车辆,你看到的车牌颜色是？,纯白色,images/white_plate.jpg,Sri Lanka,1
车辆,你看到的车牌颜色是？,纯白色,images/white_plate.jpg,Switzerland,1
车辆,你看到的车牌颜色是？,纯白色,images/white_plate.jpg,Taiwan,1
车辆,你看到的车牌颜色是？,纯白色,images/white_plate.jpg,Thailand,1
车辆,你看到的车牌颜色是？,纯白色,images/white_plate.jpg,Tunisia,0.5
车辆,你看到的车牌颜色是？,纯白色,images/white_plate.jpg,United States,1
车辆,你看到的车牌颜色是？,纯蓝色,images/blue_plate.jpg,Senegal,1
车辆,你看到的车牌颜色是？,纯蓝色,images/blue_plate.jpg,United States,0.25
车辆,你看到的车牌颜色是？,纯绿色,images/green_plate.jpg,Norway,3
车辆,你看到的车牌颜色是？,纯绿色,images/green_plate.jpg,United States,1
车辆,你看到的车牌颜色是？,纯红色,images/red_plate.jpg,Bhutan,3
车辆,你看到的车牌颜色是？,纯红色,images/red_plate.jpg,Ghana,0.5
车辆,你看到的车牌颜色是？,纯黑色,images/black_plate.jpg,Bangladesh,1
车辆,你看到的车牌颜色是？,纯黑色,images/black_plate.jpg,Indonesia,3
车辆,你看到的车牌颜色是？,纯黑色,images/black_plate.jpg,Malaysia,3
车辆,你看到的车牌颜色是？,纯黑色,images/black_plate.jpg,Singapore,3
车辆,你看到的车牌颜色是？,纯黑色,images/black_plate.jpg,Tunisia,1
车辆,你看到的车牌颜色是？,纯黄色,images/yellow_plate.jpg,Australia,0.25
车辆,你看到的车牌颜色是？,纯黄色,images/yellow_plate.jpg,Botswana,1
车辆,你看到的车牌颜色是？,纯黄色,images/yellow_plate.jpg,Colombia,1
车辆,你看到的车牌颜色是？,纯黄色,images/yellow_plate.jpg,Japan,0.5
车辆,你看到的车牌颜色是？,纯黄色,images/yellow_plate.jpg,Kenya,1
车辆,你看到的车牌颜色是？,纯黄色,images/yellow_plate.jpg,Sri Lanka,0.5
车辆,你看到的车牌颜色是？,纯黄色,images/yellow_plate.jpg,United Kingdom of Great Britain and Northern Ireland,1
车辆,你看到的车牌颜色是？,纯黄色,images/yellow_plate.jpg,United States,0.25
车辆,你看到的车牌颜色是？,纯黄色,images/yellow_plate.jpg,Uganda,1
车辆,你看到的车牌颜色是？,左蓝右白,images/blue_white_plate.jpg,Albania,1
车辆,你看到的车牌颜色是？,左蓝右白,images/blue_white_plate.jpg,Austria,1
车辆,你看到的车牌颜色是？,左蓝右白,images/blue_white_plate.jpg,Belgium,1
车辆,你看到的车牌颜色是？,左蓝右白,images/blue_white_plate.jpg,Bulgaria,1
车辆,你看到的车牌颜色是？,左蓝右白,images/blue_white_plate.jpg,Croatia,1
车辆,你看到的车牌颜色是？,左蓝右白,images/blue_white_plate.jpg,Czech Republic,1
车辆,你看到的车牌颜色是？,左蓝右白,images/blue_white_plate.jpg,Denmark,1
车辆,你看到的车牌颜色是？,左蓝右白,images/blue_white_plate.jpg,Estonia,1
车辆,你看到的车牌颜色是？,左蓝右白,images/blue_white_plate.jpg,Finland,1
车辆,你看到的车牌颜色是？,左蓝右白,images/blue_white_plate.jpg,Germany,1
车辆,你看到的车牌颜色是？,左蓝右白,images/blue_white_plate.jpg,Greece,1
车辆,你看到的车牌颜色是？,左蓝右白,images/blue_white_plate.jpg,Hungary,1
车辆,你看到的车牌颜色是？,左蓝右白,images/blue_white_plate.jpg,Ireland,1
车辆,你看到的车牌颜色是？,左蓝右白,images/blue_white_plate.jpg,Iceland,0.5
车辆,你看到的车牌颜色是？,左蓝右白,images/blue_white_plate.jpg,Latvia,1
车辆,你看到的车牌颜色是？,左蓝右白,images/blue_white_plate.jpg,Lithuania,1
车辆,你看到的车牌颜色是？,左蓝右白,images/blue_white_plate.jpg,Malta,1
车辆,你看到的车牌颜色是？,左蓝右白,images/blue_white_plate.jpg,Montenegro,1
车辆,你看到的车牌颜色是？,左蓝右白,images/blue_white_plate.jpg,Norway,1
车辆,你看到的车牌颜色是？,左蓝右白,images/blue_white_plate.jpg,Poland,1
车辆,你看到的车牌颜色是？,左蓝右白,images/blue_white_plate.jpg,Portugal,1
车辆,你看到的车牌颜色是？,左蓝右白,images/blue_white_plate.jpg,Romania,1
车辆,你看到的车牌颜色是？,左蓝右白,images/blue_white_plate.jpg,Serbia,1
车辆,你看到的车牌颜色是？,左蓝右白,images/blue_white_plate.jpg,Slovakia,1
车辆,你看到的车牌颜色是？,左蓝右白,images/blue_white_plate.jpg,Slovenia,1
车辆,你看到的车牌颜色是？,左蓝右白,images/blue_white_plate.jpg,Spain,1
车辆,你看到的车牌颜色是？,左蓝右白,images/blue_white_plate.jpg,Sweden,1
车辆,你看到的车牌颜色是？,左蓝右白,images/blue_white_plate.jpg,Turkey,1
车辆,你看到的车牌颜色是？,左蓝右白,images/blue_white_plate.jpg,Ukraine,0.5
车辆,你看到的车牌颜色是？,左蓝中白右蓝,images/blue_white_blue_plate.jpg,France,3
车辆,你看到的车牌颜色是？,左蓝中白右蓝,images/blue_white_blue_plate.jpg,Italy,3
车辆,你看到的车牌颜色是？,左蓝中白右蓝,images/blue_white_blue_plate.jpg,Albania,1
车辆,你看到的车牌颜色是？,左蓝中白右蓝,images/blue_white_blue_plate.jpg,New Zealand,0.25
