keyword,question,option,excluded_country
车辆,你看到的行车方向或方向盘位置是？,左行车/右舵,Albania
车辆,你看到的行车方向或方向盘位置是？,左行车/右舵,Andorra
车辆,你看到的行车方向或方向盘位置是？,左行车/右舵,Argentina
车辆,你看到的行车方向或方向盘位置是？,左行车/右舵,Austria
车辆,你看到的行车方向或方向盘位置是？,左行车/右舵,Belgium
车辆,你看到的行车方向或方向盘位置是？,左行车/右舵,Bolivia
车辆,你看到的行车方向或方向盘位置是？,左行车/右舵,Brazil
车辆,你看到的行车方向或方向盘位置是？,左行车/右舵,Bulgaria
车辆,你看到的行车方向或方向盘位置是？,左行车/右舵,Cambodia
车辆,你看到的行车方向或方向盘位置是？,左行车/右舵,Canada
车辆,你看到的行车方向或方向盘位置是？,左行车/右舵,Chile
车辆,你看到的行车方向或方向盘位置是？,左行车/右舵,Colombia
车辆,你看到的行车方向或方向盘位置是？,左行车/右舵,Croatia
车辆,你看到的行车方向或方向盘位置是？,左行车/右舵,Czech Republic
车辆,你看到的行车方向或方向盘位置是？,左行车/右舵,Denmark
车辆,你看到的行车方向或方向盘位置是？,左行车/右舵,Dominican Republic
车辆,你看到的行车方向或方向盘位置是？,左行车/右舵,Ecuador
车辆,你看到的行车方向或方向盘位置是？,左行车/右舵,Estonia
车辆,你看到的行车方向或方向盘位置是？,左行车/右舵,Finland
车辆,你看到的行车方向或方向盘位置是？,左行车/右舵,France
车辆,你看到的行车方向或方向盘位置是？,左行车/右舵,Germany
车辆,你看到的行车方向或方向盘位置是？,左行车/右舵,Ghana
车辆,你看到的行车方向或方向盘位置是？,左行车/右舵,Greece
车辆,你看到的行车方向或方向盘位置是？,左行车/右舵,Guatemala
车辆,你看到的行车方向或方向盘位置是？,左行车/右舵,Hungary
车辆,你看到的行车方向或方向盘位置是？,左行车/右舵,Iceland
车辆,你看到的行车方向或方向盘位置是？,左行车/右舵,Israel
车辆,你看到的行车方向或方向盘位置是？,左行车/右舵,Jordan
车辆,你看到的行车方向或方向盘位置是？,左行车/右舵,Kyrgyzstan
车辆,你看到的行车方向或方向盘位置是？,左行车/右舵,Latvia
车辆,你看到的行车方向或方向盘位置是？,左行车/右舵,Lithuania
车辆,你看到的行车方向或方向盘位置是？,左行车/右舵,Mexico
车辆,你看到的行车方向或方向盘位置是？,左行车/右舵,Mongolia
