keyword,question,option,image,scoring_country,score
太阳方位,太阳偏北还是偏南？,无法确定太阳方位,images/unknown.jpg,,
太阳方位,太阳偏北还是偏南？,偏北,images/north_sun.jpg,South Africa,1
太阳方位,太阳偏北还是偏南？,偏北,images/north_sun.jpg,Botswana,1
太阳方位,太阳偏北还是偏南？,偏北,images/north_sun.jpg,Lesotho,1
太阳方位,太阳偏北还是偏南？,偏北,images/north_sun.jpg,Eswatini,1
太阳方位,太阳偏北还是偏南？,偏北,images/north_sun.jpg,Indonesia,1
太阳方位,太阳偏北还是偏南？,偏北,images/north_sun.jpg,Australia,1
太阳方位,太阳偏北还是偏南？,偏北,images/north_sun.jpg,New Zealand,1
太阳方位,太阳偏北还是偏南？,偏北,images/north_sun.jpg,Argentina,1
太阳方位,太阳偏北还是偏南？,偏北,images/north_sun.jpg,Bolivia,1
太阳方位,太阳偏北还是偏南？,偏北,images/north_sun.jpg,Brazil,1
太阳方位,太阳偏北还是偏南？,偏北,images/north_sun.jpg,Chile,1
太阳方位,太阳偏北还是偏南？,偏北,images/north_sun.jpg,Ecuador,1
太阳方位,太阳偏北还是偏南？,偏北,images/north_sun.jpg,Peru,1
太阳方位,太阳偏北还是偏南？,偏北,images/north_sun.jpg,Uruguay,1
太阳方位,太阳偏北还是偏南？,偏北,images/north_sun.jpg,Kenya,1
太阳方位,太阳偏北还是偏南？,偏北,images/north_sun.jpg,Uganda,1
太阳方位,太阳偏北还是偏南？,偏北,images/north_sun.jpg,Colombia,1
太阳方位,太阳偏北还是偏南？,偏南,images/south_sun.jpg,United Kingdom of Great Britain and Northern Ireland,1
太阳方位,太阳偏北还是偏南？,偏南,images/south_sun.jpg,Ireland,1
太阳方位,太阳偏北还是偏南？,偏南,images/south_sun.jpg,Malta,1
太阳方位,太阳偏北还是偏南？,偏南,images/south_sun.jpg,India,1
太阳方位,太阳偏北还是偏南？,偏南,images/south_sun.jpg,Sri Lanka,1
太阳方位,太阳偏北还是偏南？,偏南,images/south_sun.jpg,Bangladesh,1
太阳方位,太阳偏北还是偏南？,偏南,images/south_sun.jpg,Bhutan,1
太阳方位,太阳偏北还是偏南？,偏南,images/south_sun.jpg,Thailand,1
太阳方位,太阳偏北还是偏南？,偏南,images/south_sun.jpg,Malaysia,1
太阳方位,太阳偏北还是偏南？,偏南,images/south_sun.jpg,Japan,1
太阳方位,太阳偏北还是偏南？,偏南,images/south_sun.jpg,Singapore,1
太阳方位,太阳偏北还是偏南？,偏南,images/south_sun.jpg,Albania,1
太阳方位,太阳偏北还是偏南？,偏南,images/south_sun.jpg,Andorra,1
太阳方位,太阳偏北还是偏南？,偏南,images/south_sun.jpg,Austria,1
太阳方位,太阳偏北还是偏南？,偏南,images/south_sun.jpg,Belgium,1
太阳方位,太阳偏北还是偏南？,偏南,images/south_sun.jpg,Bulgaria,1
太阳方位,太阳偏北还是偏南？,偏南,images/south_sun.jpg,Cambodia,1
