keyword,question,option,image,scoring_country,score
语言,你看到的语言类型是？,无法确定语言,images/unknown.jpg,,
语言,你看到的语言类型是？,英语,images/english.jpg,United States,1
语言,你看到的语言类型是？,英语,images/english.jpg,Canada,1
语言,你看到的语言类型是？,英语,images/english.jpg,Ireland,1
语言,你看到的语言类型是？,英语,images/english.jpg,United Kingdom of Great Britain and Northern Ireland,1
语言,你看到的语言类型是？,英语,images/english.jpg,Australia,1
语言,你看到的语言类型是？,英语,images/english.jpg,New Zealand,1
语言,你看到的语言类型是？,英语,images/english.jpg,South Africa,1
语言,你看到的语言类型是？,英语,images/english.jpg,Singapore,1
语言,你看到的语言类型是？,英语,images/english.jpg,Philippines,1
语言,你看到的语言类型是？,英语,images/english.jpg,Botswana,1
语言,你看到的语言类型是？,英语,images/english.jpg,Eswatini,1
语言,你看到的语言类型是？,英语,images/english.jpg,Malta,1
语言,你看到的语言类型是？,英语,images/english.jpg,Kenya,1
语言,你看到的语言类型是？,英语,images/english.jpg,India,1
语言,你看到的语言类型是？,英语,images/english.jpg,Lesotho,1
语言,你看到的语言类型是？,英语,images/english.jpg,Uganda,1
语言,你看到的语言类型是？,英语,images/english.jpg,Nigeria,1
语言,你看到的语言类型是？,西班牙语,images/spanish.jpg,Argentina,1
语言,你看到的语言类型是？,西班牙语,images/spanish.jpg,Chile,1
语言,你看到的语言类型是？,西班牙语,images/spanish.jpg,Colombia,1
语言,你看到的语言类型是？,西班牙语,images/spanish.jpg,Mexico,1
语言,你看到的语言类型是？,西班牙语,images/spanish.jpg,Peru,1
语言,你看到的语言类型是？,西班牙语,images/spanish.jpg,Uruguay,1
语言,你看到的语言类型是？,西班牙语,images/spanish.jpg,Dominican Republic,1
语言,你看到的语言类型是？,西班牙语,images/spanish.jpg,Guatemala,1
语言,你看到的语言类型是？,西班牙语,images/spanish.jpg,Ecuador,1
语言,你看到的语言类型是？,西班牙语,images/spanish.jpg,Guatemala,1
语言,你看到的语言类型是？,西班牙语,images/spanish.jpg,Ecuador,1
语言,你看到的语言类型是？,法语,images/french.jpg,France,1
语言,你看到的语言类型是？,法语,images/french.jpg,Belguim,1
语言,你看到的语言类型是？,法语,images/french.jpg,Canada,1
语言,你看到的语言类型是？,法语,images/french.jpg,Luxembourg,1
语言,你看到的语言类型是？,法语,images/french.jpg,Switzerland,1
语言,你看到的语言类型是？,法语,images/french.jpg,Senegal,1
语言,你看到的语言类型是？,葡萄牙语,images/portuguese.jpg,Brazil,1
语言,你看到的语言类型是？,葡萄牙语,images/portuguese.jpg,Portugal,1
